startup_name_in_which_venture_capital_fund_invested,startup_website_url_in_which_venture_capital_fund_invested,startup_solution_in_which_venture_capital_fund_invested,venture_capital_fund_name,venture_capital_fund_website_url,venture_capital_fund_linkedin_url,venture_capital_fund_investment_industries,venture_capital_fund_investment_stages,venture_capital_fund_analyst_name,venture_capital_fund_analyst_linkedin_url
The startup described in the context is The Pill Club.,https://thepillclub.com,"The Pill Club is solving the problem of easy and affordable access to birth control, emergency contraception, and sexual wellness products for individuals assigned female at birth. They aim to make it effortless for individuals to receive prescription medication by offering an online consultation with their medical team and delivering the medications and health products to their doorstep. The service accepts over 100 types of insurance, including Medicaid, and provides low-cost options for those without insurance. The Pill Club also offers unlimited messaging with their medical team and auto refills to ensure customers never miss a month of their medication. Their goal is to support the entire wellbeing of their patients through their services and self-care extras.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Rescale,https://www.rescale.com,"Rescale is a cloud-based platform for computational engineering and R&D. The startup is solving problems related to computational science and engineering. Rescale's platform provides computational resources to engineers and scientists, enabling them to perform complex simulations and modeling quickly and efficiently. The platform leverages AI performance optimization to optimize cost objectives for simulations and modeling. Rescale provides comprehensive encryption and access controls for full-stack security with privacy protection and support for the latest compliance standards. The startup is helping engineers and scientists tackle bigger challenges and commercialize innovations faster with HPC technologies.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Relativity Space.,https://www.relativityspace.com,"Relativity's Terran 1 is a 3D-printed rocket that has successfully passed significant milestones in the aerospace industry, including becoming the first nearly entirely 3D-printed rocket to fly and prove 3D printing is viable by passing Max-Q, main engine cut-off (MECO), and second stage separation. It is the largest 3D-printed object to exist, and it has nine 3D-printed Aeon engines on its first stage and one Aeon Vac on its second stage, all using liquid oxygen (LOX) and liquid natural gas (LNG) as propellants. Terran 1 uses 3D printing technology for its structure and engines and aims to transition to methane propellant on Mars in the future. The target performance capability of Terran 1 is to carry 1,250 kg to LEO with a height of 33.5 m and a diameter of 2.28 m.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Pipe,https://pipe.com,"Pipe is a trading platform that solves the problem of businesses lacking up-front capital to grow or invest. By securely connecting with a business’s existing banking, billing, and accounting software, Pipe can turn future revenue streams, such as subscriptions or receivables, into tradable assets that can be instantly converted into up-front capital. Pipe offers a range of capital products from flexible access to instant financing, to diversified portfolio investments. Pipe also works with a variety of businesses, including SaaS, D2C, and service businesses, to name a few, creating a modern liquidity platform that allows businesses to unlock their biggest assets.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
ShipMonk,https://www.shipmonk.com,"ShipMonk is solving the problem of complex and burdensome fulfillment operations for DTC and B2B omnichannel ecommerce businesses that are ready to scale. They offer a cloud-based 4-in-1 software that streamlines inventory, orders, shipping, and warehouse management across all sales channels, giving complete visibility and control of the inventory. ShipMonk's inventory portal allows users to split their inventory across multiple locations, and the software will automatically select the warehouse that can provide the quickest turnaround at the best price. In addition, they offer shipping discounts and personal customer service through their Happiness Engineers located within their warehouses to ensure timely and thorough support.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
TUL,https://tul.com.co,"Startup TUL aims to solve the problem of providing an online platform that facilitates the purchase of construction tools and materials by allowing customers to order at any time, from any location, and have them delivered to their preferred location and time. It provides a convenient and hassle-free shopping experience for customers. To register or login, customers just need to enter their phone number and receive a code via SMS or Whatsapp for verification. The startup also takes customer data privacy seriously, providing clear authorization and privacy policies. Customers can also send any complaints or concerns to datos@soytul.com.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Klarna,https://www.klarna.com/us/business/,"Klarna offers flexible payment options and performance-driven marketing strategies that attract, convert, and retain customers for businesses of all sizes. With an estimated 6 million global shoppers and 19,000 retail partners, Klarna boasts of having up to 40% of their sales coming from new customers. They offer buy-now-pay-later options, such as Pay in 4, Pay in 30 days, and Financing, which give customers the ultimate flexibility and convenience while keeping them coming back for more. Klarna also provides marketing solutions that help businesses optimize their campaigns to meet their marketing goals and drive profitable growth. They have a suite of performance-driven omnichannel marketing plans that put businesses in front of Klarna's highly engaged customers, resulting in higher conversion rates and purchase frequency.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Skyryse,https://skyryse.com,"Skyryse aims to reduce and eventually eliminate general aviation fatalities, which is their moral imperative. They provide a revolutionary technology that can make a significant change in aviation safety and unlock transportation like no technology has done before. Skyryse's technology equips anyone with the tools, products, and peace of mind to unlock the sky and ensure safety in aviation. They are continuously working on innovative solutions to make flying safer and more accessible. Furthermore, they encourage people to join them in reimagining the future of flight and provide career opportunities in their company.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Albedo Space Corp.,https://albedo.com,"Albedo Space Corp is solving the problem of accessing high-resolution satellite imagery for businesses or individuals who need it. They provide an easy-to-use API or website which allows customers to search, subscribe and purchase aerial imagery. The highest resolution satellite imagery is available commercially with a native 10-centimeter visible imagery co-collected with 2-meter thermal imagery. Customers-oriented tasking and powerful interfaces enable the customer to get an estimate within minutes, and pricing is transparent with low minimum order size. The end-to-end automation from collection to delivery enables speedy delivery, making the service easily accessible to customers.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Instrumental,https://instrumental.com,"Instrumental startup offers a single platform that unifies product data to help teams at leading companies worldwide to find, detect and fix issues quickly. It is designed to work with any line quickly and provides immediate solutions to get companies back on track. It helps industries like product design engineering, manufacturing operations, quality engineering, and test engineering to automate failure analysis, improve product quality, optimize manufacturing processes, and speed up shipment. Its content library consists of a blog, case studies, company news, Live Teardowns, Webinars, videos and Whitepapers.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Placer.ai,https://www.placer.ai,"The startup Placer.ai utilizes location analytics to provide insights into consumer foot-traffic, helping businesses in different industries to gain a competitive advantage. They offer a dashboard service with free signup, APIs, and additional features that can be purchased. Their clients come from different industries such as retail, shopping centers, municipalities, finance, hospitality, and consumer packaged goods. Placer.ai assists businesses in identifying prospective tenants and competitors, tracking and measuring the success of marketing strategies, and gaining insights into visitor behavior and trends. Therefore, this startup aims to solve the problem of helping businesses make data-driven decisions based on location analytics.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
The name of the startup described in the context is LEX.,https://www.lex-markets.com,The context provided is related to the closure of the LEX brokerage platform and subsequent transfer of funds. The startup does not provide any solution to the user problems.,10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Multiverse,https://www.multiverse.io/en-US,"Multiverse is a startup that offers professional apprenticeship programs to individuals and employers with a focus on providing in-demand skills for tech roles of the future. The program infuses a curriculum with on-the-job learning, which is believed to be the best way to set employees up for success. Multiverse recruits people from all backgrounds to bring diverse perspectives that make companies better and enables applied learning. The startup's goal is to close digital skills gaps and enhance workforce diversity strategically. Multiverse has seen success with 1,000+ employer partners across the US and UK, with 93% of apprentices remaining with their employer post-apprenticeship.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
Flipside Crypto.,https://flipsidecrypto.xyz,"The startup Flipside Crypto aims to solve the problem of accessing reliable blockchain data for free. They provide a platform that offers analyses on leading protocols from expert analysts, as well as dashboards, tools and APIs for analysts, partners, and enterprises. They also offer bounties for community members to contribute to the growth of the ecosystem. Flipside Crypto's goal is to provide reliable data and insights in Web3, making it accessible to everyone.",10H Capital,https://www.10hcapital.com/,http://www.linkedin.com/company/10h-capital,-,-,Caroline Zhang,http://www.linkedin.com/in/caroline-zhang-6b8bb5170
10BRIDGE.,http://www.10bridge.io,"The startup, 10BRIDGE, aims to solve healthcare data interoperability problems for healthcare systems and IT solutions. The startup offers an Interoperability As A Service subscription-based service that aims to provide turnkey interoperability capabilities. IT leaders often divert their focus away from strategic development priorities to build and maintain integration infrastructure. As needs grow, the 10BRIDGE platform automatically allocates system resources based on file size and volume requirements. They provide turnkey services tailored to the needs of each customer, including integration software development, system hosting, and connectivity management.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
EquipX,http://www.equipx.io,"This startup addresses the problem of the high cost of purchasing new equipment and the significant depreciation that comes in the first 12 months of ownership. They make it easy for customers to buy used equipment that matches their high standards of reliability and value for dollars. They have deep roots in the grading and clearing business and only offer equipment that they would be willing to use on their job site. Their goal is to help customers save money, make their hard-earned dollars go further, and have immediate availability for their equipment without having to wait for long delivery times for new equipment.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
PatientPop,https://www.patientpop.com/,"PatientPop is an all-in-one healthcare marketing and medical practice management solution that enhances every patient touchpoint, providing everything a practice needs to thrive. It offers various products including website, search engine optimization, social media, online advertising, online scheduling, appointment reminders, telehealth, text messaging, practice growth dashboard, digital registration, reputation management, patient reviews, patient satisfaction surveys, and EMR & EHR integration. It claims to have leading practices relying on it as evidenced by over 3,200 reviews on Santa Monica and Los Angeles, with an average rating of 4.9/5. It aims to help healthcare providers increase their patient leads, new and returning appointments, while enhancing patient touchpoints and streamlining practice management.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
"Streamline Health Solutions, Inc.",https://www.streamlinehealth.net/,"Startup aims to solve the problem of revenue integrity and financial performance in healthcare organizations. They provide revenue cycle management software, charge integrity solutions, and coding integrity solutions to help healthcare organizations optimize their revenue and achieve better financial performance. Their solutions are designed to ensure complete and accurate charges, optimize financial performance prior to billing, and proactively manage and optimize revenue. The startup also offers intensive client training, followed by ongoing support, to help organizations improve their financial performance. They use cookies on their website to provide a better user experience.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
Elligo Health Research,https://www.elligohealthresearch.com/,"Elligo aims to solve the problem of slow clinical trial research by providing early and direct access to pre-vetted, diverse patients who can participate in clinical trials. Using HIPAA-compliant identified EHR data and proprietary technology, Elligo ensures data integrity from patient ID to study close. They offer Research Partner Services to enable healthcare practices and research sites to participate seamlessly. Their patient-centric approach ensures that clinical trials result in life-changing results. They have supported over 1,000 trials in 30 countries and provide solutions for sponsors and sites.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
Gain,https://www.gainservicing.com/,"Gain is a startup that provides a platform for managing personal injury cases, scheduling medical appointments, and gathering medical records, bills, and notes. Their platform simplifies the management of personal injury cases, ensuring that every person injured through no fault of their own gets access to the quality medical care they deserve. They offer a range of services, including AI-enhanced dashboards, case management services, and advanced settlement funding that helps healthcare providers and personal injury plaintiffs meet their financial obligations while waiting on cases to settle. Their focus is on the medical needs of the client and empowering healthcare providers to provide the best possible care to their patients. Their goal is to optimize the potential of the practice and improve access to care.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
SitePREP,http://www.siteprep.io,"SitePREP solves the problem of inefficient and inaccurate site documentation and report creation for environmental and civil engineers. The app allows users to easily collect data and create informative reports directly from their mobile devices, reducing the time and cost of traditional methods. By using photo-driven reports, SitePREP improves report accuracy, while also making communication more effective. The technology also allows users to visit more job sites and increase efficiency, ultimately reducing operating costs. The app is available for both iOS and Android devices.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
Wellbox.,http://www.wellbox.care,"Wellbox provides chronic care management (CCM) solutions for individuals living with long-term health concerns. They offer a CCM program that provides regular care to patients between office visits, helping healthcare providers focus on high-quality in-office interactions. Through their program, they aim to improve clinical and financial outcomes for individuals with two or more chronic conditions, with CCM participants reportedly decreasing their cost to Medicare by $28 per month and $78 per month after 12 and 18 months, respectively. Additionally, the program helps improve patient engagement and preventative care measures, with Wellbox participants getting 2-3x more flu shots, 2x more annual wellness visits, and preventative care screenings. They also aim to decrease emergency room visits and hospitalizations by catching potential health risks and complications before emergency care is required. Overall, Wellbox helps patients, providers, employers, ACOs, and payers proactively manage rising healthcare costs and improve the quality of care provided to individuals with long-term health concerns.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
FinThrive,https://pelitas.com/home,"The startup aims to provide a healthcare revenue management platform to ambulatory and physician practices, healthcare payers, and partners and resellers. Their platform offers solutions such as patient access, revenue integrity, patient finance, revenue recovery, and transform. The goal is to boost profitability and improve member wellness and experience. The startup claims to use automated technology that frees the team from complexity and inefficiency and reveals billions of hidden dollars for the organization.  Their platform has helped healthcare organizations optimize their processes, improve performance, and capture additional revenue.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
Signify Health,https://caravanhealth.com/,"This startup is not solving any user problems. The given context is from the website of Signify Health, a company that provides health care services and solutions such as in-home health evaluations, diagnostic and preventive services, ACO Medicare, provider enablement platform, and more. The cookie message shown is related to their website's privacy policy and usage of cookies.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
Upfront Healthcare is the name of the startup described in the context.,https://www.patientbond.com/,"Upfront is a healthcare startup that focuses on patient engagement and aims to solve multiple user problems. The startup removes barriers and friction to simplify each step of patient care and allows providers to gain an edge over the competition. With Upfront, 25-50% of patients complete preventive screenings, reducing inferior quality patient care. Upfront's technology overcomes patient engagement obstacles, builds meaningful relationships, personalizes every patient interaction, and empowers patients every step of the way. The goal is to eliminate technology fragmentation to guide patients to necessary care through proactive, clear, and highly personalized omnichannel communication. Ultimately, Upfront wants to help healthcare enterprises improve patient outcomes, reduce costs, and be more competitive in an increasingly crowded healthcare landscape.",121G LLC,https://www.121g.io/,http://www.linkedin.com/company/121g-llc,Healthcare,-,Amy Pidgeon,http://www.linkedin.com/in/amy-pachmayer-pidgeon-297b0641
Manscaped,https://www.manscaped.com/,"The startup is providing grooming products for men's private parts such as electric trimmer, ball deodorant, ball spray toner, disposable shaving mats, beard shampoo, beard conditioner, beard balm, and anti-chafing boxers. It aims to provide men with a hygienic grooming experience for their private parts. Customers can subscribe for a Peak Hygiene Plan where they will receive regular refills of their grooming products every three months. The startup promises free shipping, hassle-free returns, and secure checkout. The company also offers military, first responders, and healthcare worker discounts.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
2.0 Ventures,https://2point0ventures.com/,"2.0 Ventures is trying to solve the user problem of founders being left behind on a treadmill of fundraising and a heavily-diluted path to an IPO. They offer an alternative to the traditional VC model, investing in visionary technology and consumer companies that have strong growth potential, unique market opportunities, and strategic alignment. They are a team of former operators who think like founders and are passionate about investing in companies that can change tomorrow. Their philosophy is to invest today and provide go-to-market teams to help take companies to the next level. They want to help founders get off the treadmill and onto an exciting path to capitalize on their businesses.",2.0 Ventures,https://www.2point0ventures.com/,http://www.linkedin.com/company/2point0ventures,"Technology, Consumer Companies","Seed, Series A, Series B, Series C, Series D, Late Stage",Burke Nickerson,http://www.linkedin.com/in/burke-nickerson-46783620a
